sample_1656,0.92
sample_1548,0.878
sample_769,0.933
sample_1881,0.917
sample_1807,0.918
sample_145,0.916
sample_1212,0.93
sample_944,0.897
sample_829,0.934
sample_616,0.916
sample_1690,0.968
sample_114,0.965
sample_185,0.926
sample_1141,0.965
sample_1460,0.897
sample_1835,0.916
sample_1539,0.896
sample_598,0.934
sample_1800,0.936
sample_394,0.898
sample_1146,0.918
sample_149,0.937
sample_1750,0.922
sample_1977,0.934
sample_1830,0.969
sample_818,0.939
sample_881,0.897
sample_77,0.92
sample_1240,0.962
sample_309,0.891
sample_90,0.963
sample_1447,0.897
sample_1584,0.899
sample_23,0.897
sample_1188,0.916
sample_1461,0.899
sample_1691,0.917
sample_316,0.973
sample_299,0.891
sample_459,0.897
sample_462,0.897
sample_1730,0.966
sample_689,0.97
sample_1943,0.932
sample_1043,0.916
sample_919,0.899
sample_1104,0.916
sample_348,0.897
sample_123,0.897
sample_1645,0.916
sample_1522,0.891
sample_1874,0.917
sample_295,0.892
sample_954,0.901
sample_1529,0.898
sample_722,0.936
sample_1703,0.916
sample_1524,0.897
sample_125,0.94
sample_1922,0.939
sample_1186,0.921
sample_938,0.966
sample_1744,0.917
sample_936,0.938
sample_1973,0.932
sample_157,0.924
sample_1003,0.897
sample_1407,0.935
sample_1057,0.97
sample_1783,0.916
sample_48,0.929
sample_263,0.976
sample_678,0.923
sample_882,0.897
sample_1688,0.919
sample_1361,0.934
sample_1802,0.918
sample_250,0.936
sample_323,0.896
sample_1514,0.896
sample_1545,0.896
sample_830,0.932
sample_1757,0.966
sample_917,0.939
sample_1728,0.917
sample_352,0.898
sample_1229,0.965
sample_619,0.917
sample_1138,0.965
sample_687,0.916
sample_966,0.896
sample_537,0.897
sample_867,0.898
sample_928,0.967
sample_520,0.938
sample_1338,0.934
sample_988,0.898
sample_899,0.897
sample_15,0.934
sample_1412,0.935
sample_1915,0.968
sample_1885,0.936
sample_1893,0.921
sample_688,0.916
sample_1664,0.965
sample_1667,0.963
sample_1516,0.897
sample_437,0.896
sample_203,0.918
sample_1389,0.937
sample_761,0.976
sample_1373,0.932
sample_558,0.965
sample_1710,0.897
sample_153,0.932
sample_934,0.939
sample_54,0.899
sample_1227,0.917
sample_53,0.905
sample_1110,0.918
sample_49,0.899
sample_474,0.896
sample_1716,0.899
sample_1169,0.965
sample_1925,0.932
sample_667,0.918
sample_176,0.926
sample_1908,0.916
sample_160,0.926
sample_35,0.972
sample_1403,0.934
sample_1806,0.969
sample_241,0.934
sample_1059,0.938
sample_746,0.946
sample_513,0.937
sample_1088,0.937
sample_1370,0.935
sample_523,0.937
sample_319,0.897
sample_1923,0.976
sample_1296,0.934
sample_1152,0.917
sample_982,0.896
sample_304,0.892
sample_502,0.97
sample_1951,0.932
sample_386,0.967
sample_362,0.938
sample_522,0.94
